cell_line_id,top_10_drug_ids
683665,"1248,283,1004,135,268,346,1057,1011,208,20"
684055,"1494,268,1248,180,346,208,1057,136,194,13"
684057,"283,1007,1003,268,1004,346,1248,1057,208,20"
684059,"1494,1007,1003,104,1248,346,268,283,1031,100"
684062,"1007,283,1003,268,1031,1004,346,200,194,18"
684072,"1248,1494,1003,135,180,1008,11,268,194,34"
684681,"1004,1261,346,268,1378,1069,111,24"
687448,"140,104,268,1372,29,1373,159,9,302,15"
687562,"104,1007,1003,140,1248,1494,268,180,1004,1"
687568,"201,1248,268,1494,135,1031,194,346,83,8"
687590,"1494,1248,194,1377,24"
687600,"1248,86,1050,89,11"
687799,"201,180,140,11,1004,283,87,346,268,6"
687804,"201,140,1248,180,200,194,328,182,170,13"
687807,26
687814,"200,60,83,157,41,1239,11"
687983,"268,1248,346,60,1149,1166,299,302,331,137"
687984,"200,194,272,274,175,24"
687997,"1248,200,272,274,1012,235,45,24"
688001,"1494,1003,1248,268,1004,200,1372,194,1006,105"
688006,"1003,1248,268,346,87,200,60,235,273,27"
688007,"1003,268,87,1011,200,60,272,274,88,25"
688010,"87,60,11,194,200,53,170,88,41,101"
688013,"1003,1494,1248,136,200,133,1011,1259,1005,8"
688014,"1248,268,200,45,116"
688015,"226,268,208,346,200,273,235,272,274,30"
688018,"1003,268,1248,226,346,273,208,274,272,22"
688021,"268,273,272,27"
688023,"1248,268,1004,346,283,87,11,208,60,116"
688025,"1003,1494,268,140,1004,1248,1008,346,87,20"
688026,"140,180,283,268,326,11,194,200,208,34"
688027,"1248,140,208,11,200,60,9,225,86,8"
688031,"1004,268,87,1008,60,200,83,86,41,101"
688086,"1494,87,200,184,185,293,1142,1012,1239,4"
688121,"1007,104,3,11,268,140,1003,1004,135,103"
713878,"268,1248,1004,1057,208,346,60,87,1059,20"
724859,"268,140,1372,180,135,11,200,87,29,6"
724863,"268,328,182,202,24"
724866,"3,104,201,135,140,180,11,83,87,19"
724872,"87,293,274,1239,41,45,1262,1047,1039,24"
735784,"104,1007,135,1494,1004,11,87,60,1166,8"
749711,"1007,1004,140,268,208,11,226,87,346,25"
749713,"1494,268,140,346,200,87,208,53,60,8"
749715,"201,180,1248,200,252,268,194,133,302,116"
749716,"268,200,119,252,255,1377,86,170,331,17"
753531,"201,104,1007,140,135,11,1004,1494,1003,18"
753532,"104,1007,1494,1372,194,1192,1248,127,1026,5"
753546,"104,180,1060,1372,197,1498,194,9,268,20"
753547,"1248,1004,268,180,1008,346,200,87,60,13"
753548,"1494,51,1003,1004,140,155,56,180,55,26"
753549,"104,197,1031,180,9,182,157,173,94,10"
753551,"268,24"
753552,"104,140,180,268,328,9,200,194,1026,8"
753555,"1007,1248,1004,1057,1372,1166,1529,1377,1239,116"
753558,"201,104,1494,135,1031,83,11,200,1057,5"
753563,"1494,1248,1003,1008,133,194,136,1529,182,123"
753564,"1004,1248,1007,268,226,11,346,200,208,27"
753565,"1248,1003,180,135,208,53,194,87,200,30"
753577,"135,180,268,51,53,200,194,133,136,8"
753578,"135,104,1003,1494,1004,1372,194,200,1006,13"
753579,"104,1372,268,180,29,1060,9,56,194,20"
753581,"104,268,346,53,182,200,83,9,272,4"
753582,"1248,180,140,135,11,200,87,60,208,3"
753583,"104,180,140,1004,184,346,53,60,83,"
753584,"104,1007,180,11,268,135,194,53,51,6"
753585,"1494,83,51,194,136,53,133,56,200,5"
753588,"1003,268,346,1248,194,328,200,87,60,13"
753589,"268,1248,200,272,274,235,88,310,1262,24"
753592,"104,180,201,1007,11,268,140,1004,135,8"
753594,"1248,268,87,200,346,1008,208,60,328,19"
753595,"201,1007,11,180,268,1372,283,140,1494,8"
753596,"104,1372,140,346,11,1060,268,200,83,19"
753597,
753605,"268,11,87,200,60,272,53,273,274,8"
753612,"104,283,1248,200,346,194,1011,83,328,29"
753614,"201,11,135,1248,3,140,180,194,87,5"
753616,"1248,87,1149,200,268,60,184,1218,1242,29"
753618,"1248,104,1494,1007,1003,1057,208,268,1022,20"
753620,"1494,1006,136,1054,300,1239,172,245,291,11"
753621,"104,1007,11,180,194,200,87,60,133,8"
753622,"104,201,11,180,140,1494,1248,87,208,19"
753623,"201,1007,104,1248,11,180,194,1003,1004,20"
905938,"268,283,1004,1060,11,1248,135,346,194,20"
905940,"1248,51,268,1004,1013,11,56,208,261,19"
905941,"268,180,194,346,200,328,182,272,274,4"
905942,"268,1004,1248,1026,83,1378,1529,1239,45,124"
905952,"1003,104,1494,1016,1004,1248,140,1031,1008,28"
905955,"1372,180,1004,140,1060,1261,1024,1166,1498,18"
905958,"104,1494,1003,1248,1004,140,11,268,1016,8"
905965,"1004,1003,1494,268,140,283,35,135,11,100"
905967,"1248,268,28"
905970,"268,119,1,19"
905971,"104,201,180,1494,140,135,1004,268,133,19"
905972,"104,201,180,1494,140,1007,268,194,11,124"
905974,"1494,1372,180,268,200,135,1248,1057,1026,19"
905977,"104,268,1372,1060,346,1373,200,29,194,124"
905978,"104,268,1004,140,194,11,53,51,1372,34"
905980,"104,194,51,135,200,83,53,182,86,"
905982,"11,135,53,194,51,83,268,1149,200,8"
905984,"1007,3,1248,1004,35,135,180,194,1026,20"
905986,"1003,1007,1494,180,1031,1248,135,1004,11,26"
905989,"104,140,11,1004,180,87,60,194,268,102"
905990,"104,268,201,140,180,1031,11,194,83,8"
906746,"1004,1007,1494,140,11,194,208,87,1057,5"
906763,"1248,346,1004,155,3,87,268,1003,1016,14"
906765,"283,1494,268,1248,135,200,194,346,87,32"
906794,"104,140,180,1494,268,197,11,170,194,13"
906800,"283,1248,180,201,11,1494,226,1003,1004,14"
906803,"104,201,140,1248,135,11,1372,180,29,19"
906808,"1248,200,88,274,175,1012,257,245,19"
906812,"268,346,194,344,245,111,29"
906813,"1494,1007,1248,1003,180,1004,140,1259,208,13"
906831,"3,104,346,180,268,1248,194,11,200,8"
906834,"1248,1003,180,200,1059,136,1009,1012,1038,104"
906836,"1004,1494,140,135,268,35,346,11,180,8"
906838,"1004,1016,268,1008,1057,346,87,1166,1059,21"
906841,"1007,1494,1003,11,194,135,87,60,328,18"
906842,"1003,1004,83,140,11,180,56,133,51,100"
906844,"1248,1372,1060,180,135,133,194,197,1373,20"
906846,"283,135,1494,1003,268,140,1248,346,208,18"
906847,"1248,346,83,299,53,302,252,182,219,33"
906849,"140,1,119,157,7"
906850,24
906854,"194,200,1527,1059,157,1012,45,1199,17"
906855,"104,1248,155,268,1494,51,1004,1013,1003,34"
906856,"155,1248,51,1004,1021,1022,1003,346,1029,101"
906861,"3,1007,201,11,268,180,140,1004,1057,13"
906862,"1007,83,268,1057,1026,1166,200,1053,273,27"
906869,"283,83,194,200,268,170,157,272,184,29"
906870,"283,104,1248,51,1494,194,87,277,328,31"
906871,"1007,104,1494,1261,180,268,11,1003,140,100"
906872,"104,1248,268,1494,140,1004,180,208,1372,34"
