State, FIPS,Value (Percent),People (Education: At Least High School),Rank within US
"United States",00000,87.7,191498014,"N/A"
"Petroleum County, Montana",30069,98.8,334,"3141 of 3141"
"Falls Church City, Virginia",51610,98.8,9335,"3140 of 3141"
"Rich County, Utah",49033,98.6,1329,"3139 of 3141"
"Denali, Alaska",02068,98.4,1576,"3138 of 3141"
"Ouray County, Colorado",08091,98.4,3778,"3137 of 3141"
"Clear Creek County, Colorado",08019,98.3,7222,"3136 of 3141"
"Douglas County, Colorado",08035,98.0,210903,"3135 of 3141"
"Los Alamos County, New Mexico",35028,97.8,12768,"3134 of 3141"
"Loup County, Nebraska",31115,97.8,451,"3133 of 3141"
"Morgan County, Utah",49029,97.6,6200,"3132 of 3141"
"Gilpin County, Colorado",08047,97.6,4586,"3131 of 3141"
"Gunnison County, Colorado",08051,97.2,10257,"3130 of 3141"
"Banner County, Nebraska",31007,97.1,498,"3129 of 3141"
"Story County, Iowa",19169,97.1,48817,"3128 of 3141"
"Park County, Colorado",08093,97.0,13145,"3127 of 3141"
"Haines Borough, Alaska",02100,97.0,1815,"3126 of 3141"
"Broomfield County, Colorado",08014,96.8,43998,"3125 of 3141"
"Mineral County, Colorado",08079,96.8,693,"3124 of 3141"
"Grant County, Nebraska",31075,96.8,477,"3123 of 3141"
"Routt County, Colorado",08107,96.8,17716,"3122 of 3141"
"Delaware County, Ohio",39041,96.7,124322,"3121 of 3141"
"Gallatin County, Montana",30031,96.7,64391,"3120 of 3141"
"Garfield County, Washington",53023,96.7,1580,"3119 of 3141"
"Elbert County, Colorado",08039,96.7,17211,"3118 of 3141"
"Cook County, Minnesota",27031,96.6,4060,"3117 of 3141"
"Ozaukee County, Wisconsin",55089,96.4,59040,"3116 of 3141"
"Hamilton County, Indiana",18057,96.4,197226,"3115 of 3141"
"Carver County, Minnesota",27019,96.4,62637,"3114 of 3141"
"Latah County, Idaho",16057,96.3,21064,"3113 of 3141"
"Steele County, North Dakota",38091,96.3,1341,"3112 of 3141"
"Pitkin County, Colorado",08097,96.3,13147,"3111 of 3141"
"Sublette County, Wyoming",56035,96.3,6681,"3110 of 3141"
"Blaine County, Nebraska",31009,96.3,339,"3109 of 3141"
"St. Croix County, Wisconsin",55109,96.3,56629,"3108 of 3141"
"Bremer County, Iowa",19017,96.2,15703,"3107 of 3141"
"Daggett County, Utah",49009,96.2,402,"3106 of 3141"
"Kearney County, Nebraska",31099,96.1,4281,"3105 of 3141"
"Waukesha County, Wisconsin",55133,96.1,269128,"3104 of 3141"
"Garfield County, Nebraska",31071,96.1,1381,"3103 of 3141"
"Juneau Borough, Alaska",02110,96.1,21601,"3102 of 3141"
"Keweenaw County, Michigan",26083,96.1,1610,"3101 of 3141"
"Lake County, Minnesota",27075,96.0,7780,"3100 of 3141"
"Poquoson City, Virginia",51735,96.0,8085,"3099 of 3141"
"Monroe County, Illinois",17133,96.0,22917,"3098 of 3141"
"Valdez-Cordova Census Area, Alaska",02261,96.0,6206,"3097 of 3141"
"Albany County, Wyoming",56001,96.0,20247,"3096 of 3141"
"Washington County, Minnesota",27163,96.0,163224,"3095 of 3141"
"San Juan County, Washington",53055,95.9,12869,"3094 of 3141"
"Madison County, Idaho",16065,95.9,15627,"3093 of 3141"
"Kiowa County, Colorado",08061,95.9,912,"3092 of 3141"
"Clay County, South Dakota",46027,95.9,6675,"3091 of 3141"
"McLean County, Illinois",17113,95.9,100731,"3090 of 3141"
"Johnson County, Kansas",20091,95.9,377319,"3089 of 3141"
"Wayne County, Nebraska",31179,95.8,5116,"3088 of 3141"
"Dickinson County, Iowa",19059,95.8,12139,"3087 of 3141"
"Teller County, Colorado",08119,95.8,17443,"3086 of 3141"
"Riley County, Kansas",20161,95.8,36241,"3085 of 3141"
"Larimer County, Colorado",08069,95.8,211772,"3084 of 3141"
"Miami County, Kansas",20121,95.7,21463,"3083 of 3141"
"Washington County, Nebraska",31177,95.7,13203,"3082 of 3141"
"Mitchell County, Kansas",20123,95.7,4003,"3081 of 3141"
"Gosper County, Nebraska",31073,95.7,1451,"3080 of 3141"
"Warren County, Iowa",19181,95.7,30908,"3079 of 3141"
"Williamsburg City, Virginia",51830,95.6,6966,"3078 of 3141"
"Dane County, Wisconsin",55025,95.6,331797,"3077 of 3141"
"Johnson County, Wyoming",56019,95.6,5862,"3076 of 3141"
"Williamson County, Tennessee",47187,95.6,135404,"3075 of 3141"
"Lane County, Kansas",20101,95.5,1070,"3074 of 3141"
"Douglas County, Kansas",20045,95.5,65425,"3073 of 3141"
"Howard County, Maryland",24027,95.5,202984,"3072 of 3141"
"Grand County, Colorado",08049,95.5,10878,"3071 of 3141"
"Missoula County, Montana",30063,95.5,73683,"3070 of 3141"
"Adams County, North Dakota",38001,95.5,1613,"3069 of 3141"
"Barnstable County, Massachusetts",25001,95.5,157888,"3068 of 3141"
"Davis County, Utah",49011,95.5,188543,"3067 of 3141"
"Dukes County, Massachusetts",25007,95.5,12156,"3066 of 3141"
"Benton County, Oregon",41003,95.4,51885,"3065 of 3141"
"Park County, Montana",30067,95.4,11747,"3064 of 3141"
"Beaverhead County, Montana",30001,95.4,6028,"3063 of 3141"
"Brookings County, South Dakota",46011,95.4,17312,"3062 of 3141"
"Livingston County, Michigan",26093,95.4,125107,"3061 of 3141"
"Frontier County, Nebraska",31063,95.4,1697,"3060 of 3141"
"Garfield County, Montana",30033,95.4,720,"3059 of 3141"
"Platte County, Missouri",29165,95.4,63890,"3058 of 3141"
"Madison County, Montana",30057,95.3,6171,"3057 of 3141"
"Dallas County, Iowa",19049,95.3,52219,"3056 of 3141"
"Marquette County, Michigan",26103,95.3,42362,"3055 of 3141"
"Island County, Washington",53029,95.3,56609,"3054 of 3141"
"Judith Basin County, Montana",30045,95.3,1437,"3053 of 3141"
"Keya Paha County, Nebraska",31103,95.3,525,"3052 of 3141"
"Sully County, South Dakota",46119,95.3,868,"3051 of 3141"
"Daniels County, Montana",30019,95.3,1268,"3050 of 3141"
"Nantucket County, Massachusetts",25019,95.3,7645,"3049 of 3141"
"Dawes County, Nebraska",31045,95.3,5122,"3048 of 3141"
"Johnson County, Iowa",19103,95.3,82216,"3047 of 3141"
"Whitman County, Washington",53075,95.2,22708,"3046 of 3141"
"Sarpy County, Nebraska",31153,95.2,108233,"3045 of 3141"
"Washtenaw County, Michigan",26161,95.2,216370,"3044 of 3141"
"Fallon County, Montana",30025,95.2,1846,"3043 of 3141"
"Leelanau County, Michigan",26089,95.2,15813,"3042 of 3141"
"Sheridan County, Wyoming",56033,95.2,20185,"3041 of 3141"
"Grand Traverse County, Michigan",26055,95.2,62920,"3040 of 3141"
"Wabaunsee County, Kansas",20197,95.2,4507,"3039 of 3141"
"Wheeler County, Nebraska",31183,95.2,611,"3038 of 3141"
"Republic County, Kansas",20157,95.2,3319,"3037 of 3141"
"Thomas County, Kansas",20193,95.1,4760,"3036 of 3141"
"Ada County, Idaho",16001,95.1,283789,"3035 of 3141"
"Sweet Grass County, Montana",30097,95.1,2549,"3034 of 3141"
"Champaign County, Illinois",17019,95.1,115310,"3033 of 3141"
"Hunterdon County, New Jersey",34019,95.1,84097,"3032 of 3141"
"Wasatch County, Utah",49051,95.1,17236,"3031 of 3141"
"Boulder County, Colorado",08013,95.1,199470,"3030 of 3141"
"San Miguel County, Colorado",08113,95.0,5680,"3029 of 3141"
"Cumberland County, Maine",23005,95.0,199040,"3028 of 3141"
"Douglas County, Minnesota",27041,95.0,25219,"3027 of 3141"
"James City County, Virginia",51095,95.0,50885,"3026 of 3141"
