State, FIPS,Value (Dollars),Rank within US
United States,0,73965,N/A
"Jefferson County, Mississippi",28063,21816,3140 of 3140
"Todd County, South Dakota",46121,22889,3139 of 3140
Puerto Rico,72001,24391,3138 of 3140
"Holmes County, Mississippi",28051,26374,3137 of 3140
"Clay County, Georgia",13061,27500,3136 of 3140
"Brooks County, Texas",48047,29927,3135 of 3140
"Shannon County, South Dakota",46113,30593,3134 of 3140
"East Carroll Parish, Louisiana",22035,30717,3133 of 3140
"Claiborne County, Mississippi",28021,30781,3132 of 3140
"Greene County, Alabama",1063,31077,3131 of 3140
"Hudspeth County, Texas",48229,31165,3130 of 3140
"Perry County, Alabama",1105,31320,3129 of 3140
"McCreary County, Kentucky",21147,31598,3128 of 3140
"Bell County, Kentucky",21013,31981,3127 of 3140
"Tensas Parish, Louisiana",22107,32036,3126 of 3140
"Starr County, Texas",48427,32060,3125 of 3140
"McDowell County, West Virginia",54047,32146,3124 of 3140
"Humphreys County, Mississippi",28053,32229,3123 of 3140
"Harlan County, Kentucky",21095,32426,3122 of 3140
"Telfair County, Georgia",13271,32466,3121 of 3140
"Mora County, New Mexico",35033,32563,3120 of 3140
"Kemper County, Mississippi",28069,32778,3119 of 3140
"Madison Parish, Louisiana",22065,33000,3118 of 3140
"Leflore County, Mississippi",28083,33519,3117 of 3140
"Clay County, Kentucky",21051,33535,3116 of 3140
"Breathitt County, Kentucky",21025,33683,3115 of 3140
"Willacy County, Texas",48489,33731,3114 of 3140
"Presidio County, Texas",48377,34195,3113 of 3140
"Zavala County, Texas",48507,34213,3112 of 3140
"Costilla County, Colorado",8023,34338,3111 of 3140
"Zapata County, Texas",48505,34744,3110 of 3140
"Wilkinson County, Mississippi",28157,34868,3109 of 3140
"Buffalo County, South Dakota",46017,34904,3108 of 3140
"Dimmit County, Texas",48127,34957,3107 of 3140
"Adams County, Mississippi",28001,35039,3106 of 3140
"Randolph County, Georgia",13243,35327,3105 of 3140
"Wade Hampton Census Area, Alaska",2270,35354,3104 of 3140
"Knox County, Kentucky",21121,35833,3103 of 3140
"Stewart County, Georgia",13259,35848,3102 of 3140
"Wolfe County, Kentucky",21237,36563,3101 of 3140
