State, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.1,44257979,"N/A"
"Todd County, South Dakota",46121,55.1,5481,"3140 of 3140"
"Jefferson County, Mississippi",28063,49.7,3418,"3139 of 3140"
"Shannon County, South Dakota",46113,49.3,6992,"3138 of 3140"
"East Carroll Parish, Louisiana",22035,48.6,2238,"3137 of 3140"
"Mellette County, South Dakota",46095,48.3,965,"3136 of 3140"
"Jackson County, South Dakota",46071,47.7,1523,"3135 of 3140"
"Puerto Rico",72001,44.5,1495160,"3134 of 3140"
"Corson County, South Dakota",46031,44.3,1837,"3133 of 3140"
"Claiborne County, Mississippi",28021,44.0,3698,"3132 of 3140"
"Holmes County, Mississippi",28051,43.6,7565,"3131 of 3140"
"Perry County, Alabama",01105,41.8,3616,"3130 of 3140"
"Issaquena County, Mississippi",28055,41.7,439,"3129 of 3140"
"Clay County, Georgia",13061,41.1,1211,"3128 of 3140"
"Ziebach County, South Dakota",46137,41.0,1146,"3127 of 3140"
"Wade Hampton Census Area, Alaska",02270,40.5,3296,"3126 of 3140"
"Tensas Parish, Louisiana",22107,40.0,1858,"3125 of 3140"
"Zapata County, Texas",48505,39.5,5609,"3124 of 3140"
"Clinch County, Georgia",13065,39.2,2605,"3123 of 3140"
"Leflore County, Mississippi",28083,39.2,11143,"3122 of 3140"
"Buffalo County, South Dakota",46017,39.2,796,"3121 of 3140"
"Brooks County, Texas",48047,38.9,2573,"3120 of 3140"
"Greene County, Alabama",01063,38.7,3225,"3119 of 3140"
"Clay County, Kentucky",21051,38.6,7388,"3118 of 3140"
"Humphreys County, Mississippi",28053,38.1,3215,"3117 of 3140"
"Madison Parish, Louisiana",22065,37.8,3632,"3116 of 3140"
"McCreary County, Kentucky",21147,37.5,6027,"3115 of 3140"
"Bell County, Kentucky",21013,37.1,9749,"3114 of 3140"
"Randolph County, Georgia",13243,37.0,2536,"3113 of 3140"
"Stewart County, Georgia",13259,37.0,1478,"3112 of 3140"
"Sioux County, North Dakota",38085,36.5,1588,"3111 of 3140"
"Harlan County, Kentucky",21095,36.2,9563,"3110 of 3140"
"McKinley County, New Mexico",35031,36.0,25986,"3109 of 3140"
"Radford City, Virginia",51750,35.9,5230,"3108 of 3140"
"Leslie County, Kentucky",21131,35.6,3553,"3107 of 3140"
"Breathitt County, Kentucky",21025,35.5,4558,"3106 of 3140"
"Quitman County, Mississippi",28119,35.5,2549,"3105 of 3140"
"Starr County, Texas",48427,35.3,22336,"3104 of 3140"
"Apache County, Arizona",04001,35.3,24761,"3103 of 3140"
"Turner County, Georgia",13287,35.3,2677,"3102 of 3140"
"Zavala County, Texas",48507,34.8,4150,"3101 of 3140"
